name,type,area,direction,fitment,elevator,total_price,unit_price,property
近园区 地铁口 全明西边户 配套成熟 适合刚需,59.2平米,南,简装,中楼层(共6层),板楼,153,单价25845元/平米,共有
满二年，开发商装修，全新未住人，品质物业，环境优美,123.44平米,南,精装,低楼层(共41层),板塔结合,232,单价18795元/平米,共有
盘门景区 独栋别墅 庙湾街88号！画锦坊边上 护城河内,259.7平米,南,精装,低楼层(共3层),板塔结合,2000,单价77012元/平米,非共有
虹桥小区，户型正气 诚心出售，看房方便,60.47平米,南 北,简装,高楼层(共6层),板楼,136,单价22491元/平米,非共有
全明户型 好楼层 南北双阳台 精装修 拎包入住,66.04平米,南,精装,中楼层(共6层),板楼,162,单价24531元/平米,非共有
央企品质，万科物业，业主诚意出售，看房有钥匙,89.53平米,南 北,精装,26层,板楼,265,单价29600元/平米,非共有
南苑新村3楼采光好，交通便利，房子保养好，拎包入住,105.45平米,南,简装,中楼层(共5层),暂无数据,152.8,单价14491元/平米,共有
九龙仓碧堤雅苑 通透户型 中上楼层 满两年,116.87平米,南,精装,高楼层(共19层),板楼,335,单价28665元/平米,共有
此房满二，格局方正，采光无忧，两房朝南，客厅朝南,118.34平米,南,精装,6层,板塔结合,184,单价15549元/平米,非共有
新上房源，楼层好视野佳，红蚂蚁硬装，满五 唯 一,105.09平米,南,精装,27层,板塔结合,531.5,单价50576元/平米,共有
新区永旺旁，精装多层洋房，带17平独立车库，看房随时,115.41平米,南,精装,中楼层(共5层),板楼,259,单价22442元/平米,共有
新上月亮湾四房  出门就是公交站 地铁口  苏苑和迎春,105平米,南,简装,低楼层(共6层),板塔结合,248,单价23620元/平米,非共有
地铁正荣华府大三房边户通透户型，全新精装中上楼层,113平米,南,精装,高楼层(共33层),板塔结合,250,单价22124元/平米,非共有
精装修三房双卫楼层好 视野开阔 看房有钥匙 诚心出售,122.48平米,南,精装,低楼层(共11层),板楼,330,单价26944元/平米,共有
精装小三房，家电齐全，洋房带电梯，满2年税费低,85.77平米,南,简装,高楼层(共6层),板楼,319,单价37193元/平米,共有
浒墅人家一区，中间楼层70平小户，二手买进诚心出售,70.52平米,南,简装,中楼层(共17层),板楼,126,单价17868元/平米,共有
美之国 满五年唯一 2016年自住精装修 带车位 诚心出售,89.83平米,南,精装,6层,塔楼,249.8,单价27809元/平米,共有
金枫美地 纵价低 精装修 可做四F或者空间花园,139平米,南 北,精装,高楼层(共6层),板塔结合,230,单价16547元/平米,非共有
满五唯一，采光充足，精装小户，拎包入住，,52平米,南,精装,低楼层(共25层),板塔结合,107,单价20577元/平米,非共有
潇邦西区小三房诚意出售，利用率高此户型,88.17平米,南,精装,低楼层(共19层),板楼,540,单价61246元/平米,共有
精装5房，房东自主房，保养良好，拎包入住！！！,177.24平米,南,精装,高楼层(共5层),板楼,270,单价15234元/平米,共有
万科物业，楼层采光好，户型方正通透，诚心出售,134平米,南,精装,高楼层(共34层),板楼,541,单价40374元/平米,非共有
光大花园 3室2厅 南 北,90.59平米,南 北,精装,中楼层(共11层),板楼,180,单价19870元/平米,非共有
解放新村好房出售 中间楼层 全新装修 房东诚意出售,65.32平米,南,精装,6层,板楼,149.9,单价22949元/平米,共有
花桥嘉宝梦之城 经典小三房 地铁口300米 品质精装修,87.38平米,南,精装,低楼层(共28层),板楼,208,单价23805元/平米,非共有
招商婚装一幢边户三房 前排视野好 采光好 拎包入住,94.69平米,南,精装,高楼层(共18层),板楼,223,单价23551元/平米,共有
嘉元花园南区难得复式  空中别墅的感觉哈 看房随时,130.05平米,南,毛坯,高楼层(共6层),板楼,196,单价15072元/平米,共有
三元二村 自住精装3房全明户型 满五唯一汽位,69.03平米,南,精装,6层,板楼,152,单价22020元/平米,共有
此房满五不唯一，楼层好，视野宽阔，采光充足,63.32平米,南,简装,高楼层(共6层),板楼,163,单价25743元/平米,共有
公务员小区 买来孩子学习氛围好 中间楼层采光好,147平米,南,精装,中楼层(共10层),板楼,275,单价18708元/平米,非共有
结婚装修自住房，诚意出售，随时可签约,97.01平米,南,精装,30层,板楼,445,单价45872元/平米,非共有
世茂运河城 80万精装，视野开阔，南北通透。户型方正,142.42平米,南 北,精装,31层,板塔结合,460,单价32299元/平米,共有
两房朝南 阳光楼层 通风无问题。花园小区闹中取静敬文,67.65平米,南,简装,中楼层(共4层),板楼,214.8,单价31752元/平米,共有
南华公寓 小区在整改 户型正气 楼层好 配套齐全 诚售,48.7平米,南,精装,6层,板楼,119.8,单价24600元/平米,共有
诚意出售 枫情水岸4+1房  看房方便,140.41平米,南,精装,中楼层(共18层),板楼,638,单价45439元/平米,非共有
南北通透大4房  小区中间位 楼层好 采光好 视野开阔,141.73平米,南 北,简装,28层,板塔结合,695,单价49037元/平米,共有
招商别无二家的退台洋房 带花园 带地下室 单价2.56万,206.03平米,南,毛坯,低楼层(共7层),板楼,533,单价25871元/平米,共有
玲珑湾五区挑高户型，中间楼层，采光好！,141.59平米,南,精装,24层,板塔结合,1150,单价81221元/平米,共有
简单装修满二教科院草桥交通便利房东诚心出售,74.51平米,南,简装,高楼层(共24层),板楼,210,单价28185元/平米,非共有
满五唯一，精装多层洋房，带储藏室，通透采光好,128平米,南,精装,低楼层(共6层),板塔结合,230,单价17969元/平米,非共有
恒基旭辉城，精装三室，采光好，满二年，看房方便,88.83平米,南,精装,中楼层(共32层),板塔结合,220,单价24767元/平米,共有
房东诚意出售，远离高架和马路。栋数好，楼层好,83.71平米,南,精装,低楼层(共25层),板楼,222,单价26521元/平米,非共有
宏葑四村 2室1厅 南,64.2平米,南,精装,高楼层(共6层),板楼,165,单价25701元/平米,共有
此房双南户型，采光无遮挡，楼层好，满五唯一,74平米,南,精装,中楼层(共30层),塔楼,158,单价21352元/平米,非共有
新区永旺宜家旁柠檬花园纯毛坯随意装修看房有钥匙,93.19平米,北,毛坯,中楼层(共18层),板楼,237,单价25432元/平米,非共有
楼下南师大，毛坯房中间楼层，带车位，中海品质，急售,105.68平米,南,毛坯,中楼层(共32层),板楼,288,单价27253元/平米,共有
中间楼层，，全明户型，自住装修，有钥匙看房,65.45平米,南,简装,中楼层(共6层),板楼,151,单价23072元/平米,非共有
满两年精装两房   诚意出售   看房随时  楼层好,64.14平米,南,精装,高楼层(共16层),板楼,174.8,单价27253元/平米,非共有
全新精装正三房两卫刚需置换随时看房有钥匙,121.19平米,南 北,精装,中楼层(共34层),塔楼,247.5,单价20423元/平米,非共有
活力岛地铁精装小三房，上学方便，拎包入住。,79.67平米,南 北,精装,中楼层(共33层),塔楼,196,单价24602元/平米,共有
北村140平，房东诚心出售，自带27平大车库.,140.66平米,南,精装,高楼层(共6层),板楼,175,单价12442元/平米,非共有
精装修，好楼层，好视野，安静，西门门口，好位置,54.61平米,南,精装,高楼层(共16层),板塔结合,126,单价23073元/平米,非共有
万宇满2 毛坯次新房 近地铁 诚意出售 随时看房,90.8平米,南,毛坯,低楼层(共22层),板楼,195,单价21476元/平米,非共有
宝带熙岸经典小三房，不靠路，采光好，楼层好，有钥匙,89平米,南,简装,高楼层(共11层),板楼,212,单价23821元/平米,非共有
苏相合作区漕湖花园四区 两房精装满五唯一 随时看房,81平米,南,精装,低楼层(共11层),板楼,126,单价15556元/平米,共有
鑫苑世家 3室2厅 南,105.68平米,南,精装,中楼层(共24层),板塔结合,280,单价26496元/平米,共有
狮山街道，复式精装，全新装修，满五年，看房方便,97.42平米,南,精装,高楼层(共6层),板楼,206,单价21146元/平米,非共有
三元三村小户型，东边户，客厅带窗，透气性很好,54.88平米,南,简装,6层,板楼,130,单价23689元/平米,非共有
机遇房！万达旁 空中别墅 你指的拥有 cif,150平米,南,简装,高楼层(共6层),板楼,220,单价14667元/平米,共有
世茂东外滩大三房户型，景观楼层。随时看房。,127.38平米,南,简装,高楼层(共32层),板塔结合,270,单价21197元/平米,非共有
从未住过 满五唯一业主诚心出售小高层纯毛坯交付状态,90.45平米,南,毛坯,中楼层(共11层),板塔结合,182.5,单价20177元/平米,共有
吴中二村位置好楼间距大自住装修看房方便,82.41平米,南,精装,低楼层(共6层),板楼,180,单价21843元/平米,共有
一期四房，位置佳，满两年，楼层好,137.45平米,南 北,精装,低楼层(共37层),板楼,200,单价14551元/平米,非共有
旭辉美澜城 精装三房 不靠高架 位置楼层好 诚心出售,88.62平米,南,精装,中楼层(共17层),板楼,236,单价26631元/平米,共有
现代花园 精装4房 东环地铁沿线户型正气产证都体现,111.62平米,南,精装,高楼层(共5层),板楼,253,单价22667元/平米,非共有
南亚花园大三房！得房率高！景观小区,146.67平米,南 北,简装,中楼层(共9层),板楼,300,单价20455元/平米,共有
金港现代城 2室1厅 南,89平米,南,毛坯,高楼层(共7层),暂无数据,85,单价9551元/平米,共有
都市东区采光与视野好 挑高 带大露台 居家选择,156.6平米,南,精装,高楼层(共6层),板楼,656,单价41891元/平米,非共有
视野采光位置好，自住婚房满五唯一！,89.86平米,南 北,精装,中楼层(共34层),板塔结合,208,单价23148元/平米,非共有
精装边户，楼层视野好，品牌家电，看房都是方便,88.42平米,南,精装,中楼层(共32层),板塔结合,200,单价22620元/平米,共有
三元二村 西环地铁口 自住精装修 满五年唯一,54.67平米,南,精装,6层,板楼,119,单价21767元/平米,非共有
业主诚心售卖!!!看中价格可谈,82.28平米,南,精装,中楼层(共5层),板楼,200,单价24308元/平米,非共有
五期精装满两年，三房户型采光充裕,88.29平米,南,精装,中楼层(共16层),板楼,170,单价19255元/平米,共有
店长推荐！寿桃湖畔 青年城多层洋房 3+1户型南北通风,93.22平米,南,精装,高楼层(共6层),板塔结合,198,单价21241元/平米,共有
满五年，有钥匙看房方便，一楼架空，有电动车库,61.44平米,南,精装,低楼层(共5层),板楼,136,单价22136元/平米,共有
机会来了~无增值税，园区永旺旁 轻轨沿线 品质社区,84.51平米,南,精装,中楼层(共18层),板楼,419,单价49580元/平米,共有
满五唯一 只有契税 中间楼层 视野开阔 随时看房,86.59平米,南,精装,中楼层(共18层),板楼,167,单价19287元/平米,非共有
通透三房   带装修  好楼层 诚心卖 看房随时,88.46平米,南,简装,低楼层(共33层),板塔结合,191,单价21592元/平米,共有
阳山新一区，楼层位置好，中等装修 诚心出售,60.4平米,南,简装,中楼层(共5层),板楼,123.4,单价20431元/平米,共有
新区美罗旁 馨泰花苑 自住装修 两房朝南 诚心出售,75.55平米,南,精装,低楼层(共6层),板楼,285,单价37724元/平米,共有
三元三村 2室1厅 南,52.8平米,南,简装,6层,板楼,125,单价23675元/平米,共有
价格包含税费，精装拎包入住，近地铁，房东诚意出售,67.39平米,北,精装,低楼层(共33层),板楼,88,单价13059元/平米,非共有
自由水岸花园 2室1厅 南,75.78平米,南,精装,24层,板塔结合,355,单价46847元/平米,非共有
东环路欧尚旁夏园新村复式大房满五年精装修有车库车位,156平米,南,精装,高楼层(共6层),板楼,313,单价20065元/平米,共有
大成郡89边户，20万精装自住，满五年省税，有车位可谈,89.78平米,南,精装,中楼层(共25层),板塔结合,203,单价22611元/平米,共有
花园洋房 满两年 顶楼加阁楼 南北通透 看房随时,102.54平米,南 北,毛坯,高楼层(共6层),板楼,204,单价19895元/平米,非共有
此房有本人维护，满五唯一，白塘植物园全景房,197.21平米,南,精装,中楼层(共28层),板楼,880,单价44623元/平米,共有
诚心出售，满二年 自住装修 看房提前预约,87.46平米,南,精装,34层,塔楼,198,单价22639元/平米,非共有
房东诚意出售，楼层佳，视野好，毛坯，装修方便。,123.08平米,南,毛坯,高楼层(共10层),板楼,760,单价61749元/平米,共有
此房满五唯一 远离高架 采光无遮挡 随时可以看房,78.58平米,南,精装,低楼层(共27层),板楼,210,单价26725元/平米,共有
馨都广场 3室2厅 南,110.32平米,南,精装,低楼层(共6层),板楼,765,单价69344元/平米,共有
一手毛坯，园林式小区，诚心出售,102.95平米,南,毛坯,高楼层(共18层),板楼,320,单价31084元/平米,共有
护城河畔景观视野 精装两室诚心,73.61平米,南,精装,中楼层(共6层),板楼,187,单价25405元/平米,非共有
央企保利 万科物业 尹山湖平层顶复式 错过再无 满二,266.25平米,南,精装,24层,板楼,540,单价20282元/平米,共有
商圈推荐 209平复式带阁楼 满两年税费少 看房有钥匙,209平米,南,毛坯,高楼层(共6层),板楼,202.8,单价9704元/平米,共有
不靠高架，恒基旭辉城，中高楼层，全天采光，满两年,84.38平米,南,毛坯,中楼层(共33层),板塔结合,210,单价24888元/平米,非共有
新鹿花苑大户带阁楼，可做外楼梯，房东诚售 有车库,207.01平米,南,毛坯,高楼层(共5层),板楼,250,单价12077元/平米,共有
狮山路大平层    花样年禧悦   纯毛坯,260.93平米,南 北,毛坯,低楼层(共28层),板塔结合,1030,单价39475元/平米,非共有
和风雅致通透大3房2卫，楼层好采光好，精装带三大件。,141.83平米,南 北,精装,中楼层(共25层),板楼,1015,单价71565元/平米,非共有
电梯精装洋房楼层好户型通透双阳台地铁蠡墅站,124.19平米,南,精装,11层,板楼,283,单价22788元/平米,非共有
此房满二，边套南北通户型有钥匙，业主心态稳定,87.83平米,南 北,毛坯,低楼层(共30层),塔楼,172,单价19584元/平米,共有
此房满二，税少，楼层好，采光好,107.2平米,南,毛坯,高楼层(共31层),板楼,266,单价24814元/平米,共有
此房满五，两房朝南，厨卫朝北，电，拎包入住,124.98平米,南,简装,中楼层(共11层),板楼,340,单价27205元/平米,共有
精装修 标准三房  有独立汽车库（带证） 寻找有缘人,100.29平米,南,精装,中楼层(共4层),板楼,215,单价21438元/平米,非共有
绿地21城B区 4室2厅 南 北,78.32平米,南 北,精装,高楼层(共4层),板塔结合,191,单价24388元/平米,共有
精装电梯洋房，小区前排中上楼层，看房方便,87.35平米,南 北,精装,中楼层(共9层),塔楼,258,单价29537元/平米,共有
九龙仓繁华里，高品质精装三居，位置好，看房方便,96.57平米,南,精装,28层,板塔结合,445,单价46081元/平米,共有
万科品质洋房小高层带电梯一梯两户低密度舒适性高,84.95平米,南 北,精装,低楼层(共9层),板楼,213.5,单价25133元/平米,非共有
东方花园 小户型两房朝南 南边通透 自住装修,80平米,南,精装,中楼层(共5层),板楼,308,单价38500元/平米,非共有
招商依山郡，方正三房，采光好，视野无遮挡！,89.23平米,南,简装,高楼层(共18层),板楼,195,单价21854元/平米,共有
中海热门户型，中高楼层，精装满二，看房方便,87.44平米,南,精装,中楼层(共32层),板楼,241,单价27562元/平米,共有
此房是满2年，采光好，位置好.带车库。,61.23平米,南,简装,中楼层(共5层),板楼,118,单价19272元/平米,非共有
S1西环路地铁口，棕榈湾大三房。满五唯一,117.95平米,南,毛坯,中楼层(共31层),塔楼,280,单价23739元/平米,非共有
紫金国际 高品质小区  精装拎包入住,139.58平米,南 北,精装,低楼层(共16层),板塔结合,162,单价11607元/平米,共有
青剑湖公馆精装两房，满五唯一，双阳台户型,76.66平米,南,精装,中楼层(共17层),板楼,239,单价31177元/平米,共有
伟业优橙家高品质精装三开间朝南户型高楼层可等周期,88.8平米,南,精装,高楼层(共27层),板楼,192,单价21622元/平米,共有
中大未来城  精装，拎包入住 采光给力 有车位,206.61平米,南,精装,低楼层(共32层),板楼,810,单价39205元/平米,共有
青剑湖公馆精装修两房，诚意出售，拎包入住,86.8平米,南,精装,高楼层(共16层),板楼,279,单价32143元/平米,共有
红星国际广场精装三房，满两年 交通便利 户型方正,93.33平米,南,精装,高楼层(共30层),板塔结合,252,单价27001元/平米,非共有
小面积湄长新村，自住18年装修，领包入住，有车位,48.62平米,南 北,精装,低楼层(共6层),板楼,116,单价23859元/平米,非共有
